archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
756.24,0,0,0,10300, , ,0011,4,20190323,부속동,0,0, ,0,종교시설 외 1,철근콘크리트,철근콘크리트구조,0,0, ,5,24.5,0,0,0,0,0,0,0, ,0012, ,0,주건축물,06000,종교시설,44133-100384334,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-12번지,20160728,1102,증축허가,4490325,건축과,2016,1,일반,2,일반건축물,1,21,10,(철근)콘크리트,5,1,44133, ,20170608,21,철근콘크리트구조,13072.4,13072.4,3,20190213,0,2221.28
297.51,0,0,0,10300,1동, ,0011,2,20221116, ,0,0, ,0,"사무소, 단독주택",철판,일반철골조,1,0, ,2,10.58,0,0,0,0,0,0,0, ,0014, ,0,주건축물,04000,제2종근린생활시설,44133-7156,10301,11.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 11,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-14번지,20011122, , , , , ,1,일반,2,일반건축물,0,22,90,기타지붕, ,0,44133, ,20020729,31,일반철골구조,481.02,481.02,0,20030124,0,481.02
289.32,0,0,0,10300,2동, ,0011,2,20221116, ,0,0, ,0,"제1종,2종근린생활시설",철판,"철근콘크리트조, 일반철골조",0,0, ,2,8.8,0,0,0,0,0,0,0, ,0014, ,0,주건축물,03000,제1종근린생활시설,44133-7155,10301,11.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 11,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-14번지,20011122, , , , , ,1,일반,2,일반건축물,0,23,90,기타지붕, ,0,44133, ,20020729,21,철근콘크리트구조,435.39,435.39,0,20030124,0,435.39
214.62,0,0,14.79,10300, , ,0011,0,20190713, ,0,0, ,0,위험물저장및처리시설,철근콘크리트철판,"철근콘크리트조, 철골조",0,0, ,1,11,0,0,0,0,0,0,0, ,0017, ,0,주건축물,19000,위험물저장및처리시설,44133-47592,10302,19.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 19,0,0,0,0,1451,0,충청남도 천안시 서북구 백석동 11-17번지, , , , , , ,1,일반,2,일반건축물,0,24,10,(철근)콘크리트, ,0,44133, , ,21,철근콘크리트구조,214.62,214.62,0,20020918,14.79,214.62
97.99,0,0,0,10300,1동, ,0011,3,20200630, ,0,0, ,0,위험물저장및 처리시설,"스라브, 패널","철근콘크리트조, 일반철골조",0,0, ,3,10.65,0,0,0,0,0,0,0, ,0018, ,0,주건축물,19000,위험물저장및처리시설,44133-7158,10302,27.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 27,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-18번지, , , , , , ,1,일반,2,일반건축물,0,25,10,(철근)콘크리트, ,0,44133, , ,21,철근콘크리트구조,232.38,232.38,0,20021021,0,232.38
154.5,0,0,0,10300,2동, ,0011,3,20200630, ,0,0, ,0,제1종근린생활시설,콘크리트,일반철골조,0,0, ,2,8.05,0,0,0,0,0,0,0, ,0018, ,0,주건축물,03000,제1종근린생활시설,44133-7157,10302,27.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 27,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-18번지, , , , , , ,1,일반,2,일반건축물,0,26,10,(철근)콘크리트, ,0,44133, , ,31,일반철골구조,309,309,0,20021021,0,309
58.3,0,0,19.63,10300, , ,0011,0,20171118, ,0,0, ,0,"제2종근린생활시설(수리점,사무소,창고)",기타지붕(샌드위치판넬),일반철골구조,0,0, ,3,9.6,0,0,0,0,0,0,0, ,0019, ,0,주건축물,04000,제2종근린생활시설,44133-48416,10302,23.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 23,11.5,1,0,0,297,0,충청남도 천안시 서북구 백석동 11-19번지,20050629,1101,신축허가,4490136,건축과,2005,1,일반,2,일반건축물,0,27,90,기타지붕, , ,44133, ,20050702,31,일반철골구조,137.8,137.8,0,20051012,46.4,137.8
534.17,0,0,23.76,10300, , ,0011,0,20220811, ,0,0, ,0,교회,(철근)콘크리트,철골조,0,0, ,3,12.45,0,0,0,0,0,0,0, ,0020, ,0,주건축물,06000,종교시설,44133-23766,10301,7.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 7,159.5,13,0,0,2248,0,충청남도 천안시 서북구 백석동 11-20번지,20011122, , , , , ,1,일반,2,일반건축물,0,28,10,(철근)콘크리트, ,0,44133, ,20011224,31,일반철골구조,1172.05,1172.05,0,20020530,52.14,1172.05
164.24,0,0,5.35,10300, , ,0011,0,20200427,목사관,0,0, ,0,종교시설,(철근)콘크리트,철근콘크리트구조,0,0, ,4,13.35,0,0,0,0,0,0,0, ,0046, ,0,주건축물,06000,종교시설,44133-14436,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,0,0,0,0,3072,0,충청남도 천안시 서북구 백석동 11-46번지,20040916, , , , , ,1,일반,2,일반건축물,0,29,10,(철근)콘크리트, ,0,44133, ,20050804,21,철근콘크리트구조,656.96,656.96,0,20070518,21.39,656.96
70.3,0,0,0,10300, , ,0012,0,20180804, ,0,0, ,0,제1종근린생활시설,기타지붕(판넬),경량철골구조,0,0, ,1,0,0,0,0,0,0,0,0, ,0002, ,1,부속건축물,03000,제1종근린생활시설,44133-55761,10302,17.0,441332250001,21.0,0, 충청남도 천안시 서북구 동서대로 17-21,34.5,3,0,0,0,0,충청남도 천안시 서북구 백석동 12-2번지,20040423,1101,신축허가, , ,2004,1,일반,2,일반건축물,0,30,90,기타지붕, ,0,44133, ,20040521,32,경량철골구조,70.3,70.3,0,20040730,0,70.3
