,as1,as2,as3,as4,bjdCode,kaptCode,kaptName
183,전라북도,전주덕진구,고랑동,4511312900,A56134001,고랑동 명성,
184,충청남도,천안서북구,쌍용동,4413310700,A33109010,월봉벽산태영,
185,서울특별시,성북구,안암동3가,1129012300,A13607301,안암삼익,
186,인천광역시,부평구,삼산동,2823710500,A40309101,부평삼산엠코타운,
187,충청남도,홍성군,홍성읍,옥암리,4480025025,A35080813,홍성옥암 코오롱하늘채 아파트
188,경기도,수원팔달구,인계동,4111514100,A44277304,한화꿈에그린파크,
189,인천광역시,남동구,만수동,2820010300,A40574403,만수 주공11단지 아파트,
190,경기도,남양주시,평내동,4136010200,A47293511,평내효성,
191,울산광역시,울주군,범서읍,구영리,3171025927,A68976335,구영주공2차
192,경기도,성남분당구,수내동,4113510200,A46385410,양지마을 금호 6단지 아파트,
193,서울특별시,관악구,신림동,1162010200,A15179701,임광관악파크,
194,서울특별시,강남구,청담동,1168010400,A13510006,청담대림,
195,경기도,광주시,삼동,4161010700,A46404001,삼동우남퍼스트빌,
196,경상북도,안동시,안기동,4717012800,A76026001,안기세영아파트,
197,경기도,남양주시,다산동,4136011200,A47206001,더힐포레(3단지),
198,경상남도,거제시,장평동,4831010800,A65691802,덕진2차휴먼빌,
199,충청남도,천안서북구,성환읍,율금리,4413325024,A33170710,대영한아름
200,경기도,용인기흥구,보정동,4146311800,A44679308,연원마을삼성명가타운,
201,경기도,파주시,금촌동,4148010100,A41301020,그린,
202,경상북도,포항북구,장성동,4711312100,A79175806,장성청구하이츠,
203,경기도,고양일산동구,장항동,4128510400,A41083705,장항호수마을4단지롯데럭키,
204,인천광역시,부평구,산곡동,2823710300,A40377103,산곡 경남5차 아파트,
205,경기도,성남분당구,구미동,4113511400,A46374321,까치마을4단지롯데선경,
206,전라남도,목포시,상동,4611015800,A53082704,하당삼성,
207,대구광역시,북구,복현동,2723011200,A70282708,복현현대,
208,서울특별시,노원구,상계동,1135010500,A13982103,상계양우아파트,
209,충청남도,서산시,대산읍,기은리,4421025025,A35671101,LG화학사원
210,경상북도,영천시,망정동,4723010200,A77075102,망정4주공아파트,
211,광주광역시,광산구,소촌동,2920010800,A50680209,대덕6차 무지개,
212,전라북도,군산시,산북동,4513015100,A57387805,산북동 코오롱아파트,
213,서울특별시,양천구,신월동,1147010300,A15809402,신월삼정그린뷰,
214,대구광역시,수성구,범어동,2726010100,A70681905,범어청구하이츠,
215,경기도,하남시,창우동,4145010300,A46571004,부영,
216,충청북도,청주서원구,모충동,4311210300,A36175306,모충주공2단지아파트,
217,강원도,춘천시,석사동,4211012400,A20093609,퇴계주공3차아파트,
218,대구광역시,북구,동천동,2723012400,A70225002,칠곡우방하이츠,
219,광주광역시,북구,운암동,2917010900,A50017008,운암남양휴튼,
220,경상남도,창원성산구,대방동,4812310500,A64180503,대동디지털황토방,
221,경기도,안양동안구,비산동,4117310100,A43175702,은하수청구아파트,
222,서울특별시,서대문구,홍제동,1141011100,A12009001,홍제유원하나제2,
223,경상북도,포항남구,연일읍,유강리,4711125325,A79075407,대림한숲2차아파트
224,경기도,광주시,곤지암읍,곤지암리,4161025921,A46475602,곤지암쌍용2차
225,경상북도,포항남구,효자동,4711111400,A79076002,효자풍림아이원,
226,제주특별자치도,제주시,삼양이동,5011011400,A69007201,제주삼화3차,
227,광주광역시,광산구,장덕동,2920012300,A50625106,수완진흥더루벤스,
228,충청남도,천안서북구,성정동,4413310200,A33176503,주택관리공단 천안성정4,
229,경기도,수원영통구,원천동,4111710200,A44382202,원천1차삼성아파트,
230,대전광역시,유성구,전민동,3020014100,A30572803,세종,
231,강원도,속초시,교동,4221010600,A21780413,주공2차아파트 입주자 대표회의,
232,울산광역시,중구,태화동,3111011100,A68181808,강변맨션,
233,대구광역시,중구,남산동,2711015600,A70075102,보성황실타운,
234,서울특별시,금천구,독산동,1154510200,A15301105,독산동중앙하이츠빌아파트,
235,서울특별시,영등포구,양평동1가,1156012500,A15086202,양평신동아아파트,
236,경기도,고양일산서구,일산동,4128710100,A41182605,일산동문(3),
237,서울특별시,용산구,보광동,1117013600,A14082601,신동아아파트,
238,경기도,의왕시,삼동,4143010300,A43775110,대우장미,
239,충청북도,진천군,진천읍,벽암리,4375025026,A36570005,진천벽암휴먼시아
240,경상남도,김해시,외동,4825010900,A62191902,한솔빌리지,
241,인천광역시,연수구,옥련동,2818510100,A40678905,옥련태평아파트,
242,부산광역시,부산진구,개금동,2623011100,A61477403,개금시영아파트,
243,울산광역시,남구,달동,3114010500,A68080301,달동우방맨션,
244,전라북도,전주완산구,중화산동1가,4511112700,A56025101,중화산동 옥성트레비앙,
245,경기도,의왕시,청계동,4143010800,A43777203,휴먼시아청계마을3단지,
246,광주광역시,북구,양산동,2917012800,A50088708,우미아파트,
247,인천광역시,연수구,옥련동,2818510100,A40671510,옥련서해,
248,경기도,부천시,상동,4119010900,A42003013,상동라일락서해,
249,서울특별시,강서구,화곡동,1150010300,A15770801,화곡초록,
250,경상북도,구미시,황상동,4719012100,A73078408,황상2주공아파트,
251,충청북도,청주청원구,율량동,4311410300,A36081807,율량삼정2차아파트,
252,부산광역시,해운대구,반여동,2635010300,A61280906,반여신동아아파트,
253,서울특별시,강동구,천호동,1174010900,A13402003,대우한강베네시티,
254,강원도,춘천시,동내면,학곡리,4211039025,A20088201,신아3차아파트
255,전라남도,순천시,석현동,4615010800,A54010002,순천향림현대1차아파트,
256,경기도,의정부시,호원동,4115010200,A48002029,호원가든2차뉴삼익,
257,부산광역시,연제구,연산동,2647010200,A61176411,연산LG아파트,
258,울산광역시,중구,복산동,3111010300,A68182501,동덕현대4차,
259,경기도,성남분당구,서현동,4113510500,A46381901,서현미래타운,
260,부산광역시,수영구,수영동,2650010200,A61375703,수영강동원로얄듀크,
261,대구광역시,달서구,진천동,2729011700,A70483418,월배역포스코더샾,
262,부산광역시,사하구,당리동,2638010200,A60471904,당리삼성타워아파트,
263,강원도,홍천군,홍천읍,갈마곡리,4272025024,A25080113,홍천주공1단지아파트
264,경상북도,구미시,옥계동,4719012800,A73077209,옥계에덴아파트,
265,전라북도,군산시,나운동,4513014400,A57335024,나운신일,
266,경기도,용인수지구,풍덕천동,4146510100,A44817003,진산마을삼성래미안7차,
267,전라북도,전주덕진구,반월동,4511312300,A56137002,반월동 삼오,
268,서울특별시,영등포구,문래동5가,1156012300,A15009501,문래진주,
269,충청북도,청주흥덕구,봉명동,4311311500,A36130003,봉명초원아파트,
270,대전광역시,대덕구,신대동,3023010500,A30678001,신대동주공아파트,
271,광주광역시,북구,운암동,2917010900,A50017024,운암산코아루렉시안,
272,경상북도,칠곡군,석적읍,남율리,4785025623,A71883107,동화공단타운
273,인천광역시,연수구,동춘동,2818510500,A40675305,동춘풍림2차아파트,
274,경상남도,사천시,정동면,고읍리,4824031021,A66493201,사천청구타운
275,경기도,성남분당구,수내동,4113510200,A46377908,수내푸른마을신성벽산쌍용,
276,경기도,구리시,인창동,4131010300,A47174610,인창아름마을엘지,
277,경기도,하남시,덕풍동,4145010800,A46570503,하남 서해아파트,
278,경기도,가평군,가평읍,읍내리,4182025021,A47771105,가평읍내
279,경기도,용인수지구,풍덕천동,4146510100,A44897804,신정마을성지,
