시군구,방문자 수,관광명소,기타,숙박,음식점,카페,A10,A11,A12
예천군,4490870,0,2,5,0,1,4,3.97,3.94
오산시,12291493,3,9,1,5,7,4.19,4.07,3.95
옥천군,5444873,5,5,2,1,4,4.17,4.12,3.99
완도군,4375776,4,7,8,0,1,4.29,4.12,4.07
완주군,12038770,1,2,14,0,7,4.19,4.16,4.01
용산구,40356913,0,3,0,13,32,4.04,3.96,3.7
용인시,76844219,8,20,30,15,60,4.2,4.37,4.15
울릉군,1511584,5,3,3,3,3,4.44,4.23,4.06
울산광역시 남구,23223184,4,13,1,4,25,4.21,4.27,4.29
울산광역시 동구,8486736,4,4,1,2,7,4.11,4.06,4
울산광역시 북구,13529481,0,14,6,3,9,4.4,4.27,4.25
울산광역시 울주군,20728511,3,15,17,6,25,4.21,4.25,4.06
울산광역시 중구,11738732,2,6,4,3,8,3.98,4.5,4.22
울진군,6609317,7,6,14,1,1,4.09,4,4.05
원주시,18684861,6,16,20,4,35,4.16,4.29,4.15
은평구,18079312,3,3,3,2,22,4.2,4.31,4.2
음성군,9234379,0,2,1,1,7,4.13,4.41,4.18
의령군,3143522,0,2,4,0,0,4.18,4.1,3.99
의성군,5052265,1,3,0,1,1,4.3,4.16,3.99
의왕시,13755123,5,3,0,7,13,4.06,4.14,4.01
의정부시,21424378,3,7,1,11,29,4.2,4.15,3.97
이천시,18496268,4,3,2,3,23,4.2,4.04,3.9
익산시,11771786,2,11,3,2,10,3.91,4.28,4.16
인제군,4826112,1,2,18,3,4,4.21,4.18,3.96
인천광역시 강화군,14248442,9,8,80,18,27,4.21,4.2,4.08
인천광역시 계양구,14500926,2,4,0,5,17,4.25,4.13,3.98
인천광역시 남동구,31448752,1,9,0,10,36,4,4.22,4.12
인천광역시 동구,4129414,1,1,0,0,0,0,0,0
인천광역시 미추홀구,22522049,1,6,0,2,19,4,4.36,4.18
인천광역시 부평구,26797444,0,8,0,5,38,3.75,4.3,4.16
인천광역시 서구,26270892,1,12,1,10,34,4,4.32,4.17
인천광역시 연수구,27395693,1,10,2,11,30,4.09,4.24,4.11
인천광역시 옹진군,5096676,5,4,39,1,4,4.26,4.11,4.11
인천광역시 중구,32546996,9,7,21,19,25,4.13,3.75,3.71
임실군,3957176,2,4,2,0,2,4.05,4.02,3.9
장성군,6285837,0,3,11,0,5,4.28,4.27,4.08
장수군,2182275,0,1,5,0,0,4.39,4.4,4.01
장흥군,3490545,4,2,5,1,1,4.36,4.2,4.08
전주시,39727853,3,16,14,6,27,4.21,4.44,4.22
정선군,8137646,3,6,22,0,1,4.24,4.26,4.13
정읍시,7316086,3,7,7,0,5,4.43,4.02,3.99
제주시,50947145,54,52,228,44,83,4.36,4.08,4.11
제천시,12099432,6,3,32,3,4,4.21,3.96,3.87
종로구,61659809,4,14,3,1,10,4.2,4.07,4.01
중구,56997855,3,10,1,2,9,4.14,3.84,3.73
중랑구,17389919,3,5,1,4,19,4.33,3.94,3.96
증평군,2834930,1,1,1,1,3,4.18,4.08,4.11
진도군,3920591,5,4,4,0,1,4.51,4.07,4.07
진안군,3636979,3,3,7,0,1,4.25,4.1,3.97
진주시,15381413,9,14,5,2,7,4.19,3.92,4.08
진천군,7820432,2,2,2,1,3,4.12,4,4.06
창녕군,7439483,3,8,4,0,2,4.22,4.2,4.2
창원시,70023454,12,26,9,16,49,4.33,4.15,4.11
천안시,44137454,5,18,11,14,55,4.19,4,4.13
철원군,4669436,3,1,12,0,3,4.28,4.04,3.86
청도군,9100584,1,3,23,3,8,4.13,4.01,3.92
청송군,3570227,0,2,3,0,0,4.24,3.78,3.33
청양군,3473991,3,1,6,0,0,4.15,3.75,3.58
청주시,62205038,5,10,11,15,47,4.08,3.82,4
춘천시,20469393,8,6,56,16,31,4.23,3.69,4.13
충주시,14737623,4,4,24,6,10,4.3,3.89,3.95
칠곡군,11689216,8,4,7,12,12,4,4.02,3.98
태백시,2999818,3,1,2,0,0,4.26,4.26,4.19
태안군,16599617,7,6,181,14,7,4.26,4.13,4.09
통영시,12710881,11,10,57,1,5,4.27,4.18,4.13
파주시,33184403,4,7,33,23,75,4.12,4.22,4.04
평창군,13335933,6,5,64,11,3,4.32,4,4.03
평택시,24444231,4,18,5,9,43,4.03,4.06,4.08
